Source,Target,Type,weight,book
catelyn-stark,mya-stone,Undirected,9,1
catelyn-stark,mychel-redfort,Undirected,3,1
catelyn-stark,nestor-royce,Undirected,3,1
catelyn-stark,petyr-baelish,Undirected,22,1
catelyn-stark,rickard-karstark,Undirected,6,1
catelyn-stark,rickon-stark,Undirected,3,1
catelyn-stark,robb-stark,Undirected,49,1
catelyn-stark,robert-arryn,Undirected,3,1
catelyn-stark,robert-baratheon,Undirected,22,1
catelyn-stark,rodrik-cassel,Undirected,25,1
catelyn-stark,sansa-stark,Undirected,9,1
catelyn-stark,stevron-frey,Undirected,5,1
catelyn-stark,theon-greyjoy,Undirected,9,1
catelyn-stark,tyrion-lannister,Undirected,49,1
catelyn-stark,tytos-blackwood,Undirected,4,1
catelyn-stark,tywin-lannister,Undirected,7,1
catelyn-stark,vardis-egen,Undirected,5,1
catelyn-stark,varys,Undirected,10,1
catelyn-stark,walder-frey,Undirected,13,1
catelyn-stark,wendel-manderly,Undirected,3,1
catelyn-stark,willis-wode,Undirected,5,1
cayn,eddard-stark,Undirected,7,1
cayn,renly-baratheon,Undirected,3,1
cayn,tomard,Undirected,6,1
cersei-lannister,eddard-stark,Undirected,69,1
cersei-lannister,ilyn-payne,Undirected,4,1
cersei-lannister,jaime-lannister,Undirected,16,1
cersei-lannister,janos-slynt,Undirected,4,1
cersei-lannister,joffrey-baratheon,Undirected,42,1
cersei-lannister,jon-arryn,Undirected,7,1
cersei-lannister,jon-snow,Undirected,4,1
cersei-lannister,jory-cassel,Undirected,5,1
cersei-lannister,meryn-trant,Undirected,4,1
cersei-lannister,mordane,Undirected,3,1
cersei-lannister,myrcella-baratheon,Undirected,7,1
cersei-lannister,petyr-baelish,Undirected,13,1
cersei-lannister,pycelle,Undirected,9,1
cersei-lannister,renly-baratheon,Undirected,5,1
cersei-lannister,robert-baratheon,Undirected,72,1
cersei-lannister,sandor-clegane,Undirected,5,1
cersei-lannister,sansa-stark,Undirected,29,1
cersei-lannister,stannis-baratheon,Undirected,5,1
cersei-lannister,tommen-baratheon,Undirected,4,1
cersei-lannister,tyrion-lannister,Undirected,27,1
cersei-lannister,tywin-lannister,Undirected,10,1
cersei-lannister,varys,Undirected,19,1
cersei-lannister,vayon-poole,Undirected,4,1
chella,tyrion-lannister,Undirected,5,1
chett,jon-snow,Undirected,4,1
chett,samwell-tarly,Undirected,6,1
chiggen,tyrion-lannister,Undirected,5,1
chiggen,willis-wode,Undirected,3,1
clement-piper,karyl-vance,Undirected,4,1
cohollo,daenerys-targaryen,Undirected,7,1
cohollo,drogo,Undirected,9,1
cohollo,haggo,Undirected,7,1
cohollo,qotho,Undirected,6,1
colemon,vardis-egen,Undirected,4,1
conn,coratt,Undirected,5,1
conn,shagga,Undirected,9,1
conn,tyrion-lannister,Undirected,6,1
daenerys-targaryen,doreah,Undirected,15,1
daenerys-targaryen,drogo,Undirected,101,1
daenerys-targaryen,eddard-stark,Undirected,5,1
daenerys-targaryen,eroeh,Undirected,5,1
daenerys-targaryen,haggo,Undirected,12,1
daenerys-targaryen,illyrio-mopatis,Undirected,24,1
daenerys-targaryen,irri,Undirected,25,1
daenerys-targaryen,jhiqui,Undirected,26,1
daenerys-targaryen,jhogo,Undirected,17,1
daenerys-targaryen,jorah-mormont,Undirected,75,1
daenerys-targaryen,mirri-maz-duur,Undirected,31,1
daenerys-targaryen,qotho,Undirected,18,1
daenerys-targaryen,quaro,Undirected,5,1
daenerys-targaryen,rakharo,Undirected,4,1
daenerys-targaryen,rhaegar-targaryen,Undirected,4,1
daenerys-targaryen,robert-baratheon,Undirected,11,1
daenerys-targaryen,varys,Undirected,5,1
daenerys-targaryen,viserys-targaryen,Undirected,37,1
danwell-frey,hosteen-frey,Undirected,3,1
danwell-frey,jared-frey,Undirected,3,1
danwell-frey,walder-frey,Undirected,3,1
dareon,jon-snow,Undirected,6,1
daryn-hornwood,eddard-stark,Undirected,3,1
daryn-hornwood,torrhen-karstark,Undirected,3,1
desmond,eddard-stark,Undirected,4,1
dolf,shagga,Undirected,7,1
donal-noye,jon-snow,Undirected,7,1
doreah,drogo,Undirected,5,1
doreah,irri,Undirected,14,1
doreah,jhiqui,Undirected,11,1
doreah,jorah-mormont,Undirected,3,1
doreah,viserys-targaryen,Undirected,3,1
drogo,haggo,Undirected,9,1
drogo,illyrio-mopatis,Undirected,16,1
drogo,irri,Undirected,9,1
drogo,jhiqui,Undirected,5,1
drogo,jhogo,Undirected,7,1
drogo,jommo,Undirected,3,1
drogo,jorah-mormont,Undirected,16,1
drogo,mirri-maz-duur,Undirected,12,1
drogo,ogo,Undirected,11,1
drogo,qotho,Undirected,13,1
drogo,quaro,Undirected,3,1
drogo,rakharo,Undirected,4,1
drogo,rhaego,Undirected,5,1
drogo,robert-baratheon,Undirected,3,1
drogo,viserys-targaryen,Undirected,19,1
dywen,jon-snow,Undirected,4,1
eddard-stark,edmure-tully,Undirected,3,1
eddard-stark,galbart-glover,Undirected,4,1
eddard-stark,gendry,Undirected,3,1
eddard-stark,gerold-hightower,Undirected,3,1
eddard-stark,gregor-clegane,Undirected,10,1
eddard-stark,harwin,Undirected,5,1
eddard-stark,high-septon-(fat_one),Undirected,4,1
eddard-stark,howland-reed,Undirected,3,1
eddard-stark,ilyn-payne,Undirected,6,1
eddard-stark,jacks,Undirected,4,1
eddard-stark,jaime-lannister,Undirected,27,1
eddard-stark,janos-slynt,Undirected,4,1
eddard-stark,joffrey-baratheon,Undirected,26,1
eddard-stark,jon-arryn,Undirected,47,1
eddard-stark,jon-snow,Undirected,38,1
eddard-stark,jory-cassel,Undirected,32,1
eddard-stark,joss,Undirected,5,1
eddard-stark,loras-tyrell,Undirected,12,1
eddard-stark,luwin,Undirected,16,1
eddard-stark,lyanna-stark,Undirected,19,1
eddard-stark,lysa-arryn,Undirected,12,1
eddard-stark,marq-piper,Undirected,3,1
eddard-stark,mordane,Undirected,11,1
eddard-stark,mycah,Undirected,3,1
eddard-stark,petyr-baelish,Undirected,81,1
eddard-stark,porther,Undirected,4,1
eddard-stark,pycelle,Undirected,33,1
eddard-stark,raymun-darry,Undirected,4,1
eddard-stark,renly-baratheon,Undirected,33,1
eddard-stark,rhaegar-targaryen,Undirected,10,1
eddard-stark,rickard-karstark,Undirected,4,1
eddard-stark,rickon-stark,Undirected,4,1
eddard-stark,robb-stark,Undirected,16,1
eddard-stark,robert-baratheon,Undirected,291,1
eddard-stark,rodrik-cassel,Undirected,7,1
eddard-stark,sandor-clegane,Undirected,10,1
eddard-stark,sansa-stark,Undirected,34,1
eddard-stark,stannis-baratheon,Undirected,18,1
eddard-stark,syrio-forel,Undirected,6,1
eddard-stark,theon-greyjoy,Undirected,5,1
eddard-stark,tobho-mott,Undirected,7,1
eddard-stark,tomard,Undirected,15,1
eddard-stark,torrhen-karstark,Undirected,5,1
eddard-stark,tregar,Undirected,4,1
eddard-stark,tyrion-lannister,Undirected,21,1
eddard-stark,tywin-lannister,Undirected,18,1
eddard-stark,varly,Undirected,4,1
eddard-stark,varys,Undirected,61,1
eddard-stark,vayon-poole,Undirected,12,1
eddard-stark,wyl-(guard),Undirected,3,1
eddard-stark,wylla,Undirected,3,1
edmure-tully,hoster-tully,Undirected,7,1
edmure-tully,jaime-lannister,Undirected,4,1
edmure-tully,karyl-vance,Undirected,4,1
edmure-tully,lysa-arryn,Undirected,5,1
edmure-tully,marq-piper,Undirected,3,1
edmure-tully,petyr-baelish,Undirected,4,1
edmure-tully,robb-stark,Undirected,5,1
edmure-tully,tytos-blackwood,Undirected,3,1
eon-hunter,lysa-arryn,Undirected,3,1
eon-hunter,vardis-egen,Undirected,3,1
fogo,ogo,Undirected,4,1
galbart-glover,jaime-lannister,Undirected,3,1
galbart-glover,jon-umber-(greatjon),Undirected,4,1
galbart-glover,rickard-karstark,Undirected,4,1
galbart-glover,robb-stark,Undirected,5,1
galbart-glover,roose-bolton,Undirected,3,1
gared,jeor-mormont,Undirected,4,1
gared,waymar-royce,Undirected,13,1
gared,will-(prologue),Undirected,12,1
gerold-hightower,oswell-whent,Undirected,3,1
gerold-hightower,robert-baratheon,Undirected,4,1
gregor-clegane,jaime-lannister,Undirected,3,1
gregor-clegane,loras-tyrell,Undirected,10,1
gregor-clegane,marq-piper,Undirected,6,1
gregor-clegane,petyr-baelish,Undirected,3,1
gregor-clegane,pycelle,Undirected,3,1
gregor-clegane,robert-baratheon,Undirected,4,1
gregor-clegane,sandor-clegane,Undirected,11,1
gregor-clegane,sansa-stark,Undirected,5,1
gregor-clegane,tyrion-lannister,Undirected,7,1
gregor-clegane,tywin-lannister,Undirected,6,1
grenn,halder,Undirected,6,1
grenn,jeor-mormont,Undirected,3,1
grenn,jon-snow,Undirected,31,1
grenn,pypar,Undirected,27,1
grenn,samwell-tarly,Undirected,8,1
grenn,todder,Undirected,7,1
gunthor-son-of-gurn,tyrion-lannister,Undirected,7,1
haggo,mirri-maz-duur,Undirected,3,1
haggo,qotho,Undirected,11,1
haggo,rakharo,Undirected,3,1
halder,jon-snow,Undirected,23,1
halder,pypar,Undirected,8,1
halder,rast,Undirected,3,1
halder,samwell-tarly,Undirected,6,1
halder,todder,Undirected,3,1
hallis-mollen,luwin,Undirected,4,1
hallis-mollen,robb-stark,Undirected,13,1
hallis-mollen,theon-greyjoy,Undirected,7,1
harwin,hullen,Undirected,3,1
harwin,jory-cassel,Undirected,4,1
harys-swyft,jaime-lannister,Undirected,3,1
heward,jory-cassel,Undirected,5,1
heward,wyl-(guard),Undirected,3,1
high-septon-(fat_one),joffrey-baratheon,Undirected,4,1
hobb,jon-snow,Undirected,5,1
hodor,luwin,Undirected,10,1
hodor,nan,Undirected,8,1
hodor,robb-stark,Undirected,5,1
hosteen-frey,jared-frey,Undirected,3,1
hoster-tully,lysa-arryn,Undirected,3,1
hoster-tully,robert-baratheon,Undirected,3,1
hugh,jon-arryn,Undirected,3,1
hullen,jory-cassel,Undirected,5,1
hullen,luwin,Undirected,3,1
hullen,robb-stark,Undirected,3,1
hullen,rodrik-cassel,Undirected,3,1
illyrio-mopatis,irri,Undirected,3,1
illyrio-mopatis,jorah-mormont,Undirected,7,1
illyrio-mopatis,robert-baratheon,Undirected,6,1
illyrio-mopatis,viserys-targaryen,Undirected,14,1
ilyn-payne,jeyne-poole,Undirected,3,1
ilyn-payne,joffrey-baratheon,Undirected,4,1
ilyn-payne,loras-tyrell,Undirected,3,1
ilyn-payne,robert-baratheon,Undirected,4,1
ilyn-payne,sansa-stark,Undirected,9,1
ilyn-payne,varys,Undirected,5,1
irri,jhiqui,Undirected,14,1
irri,jhogo,Undirected,7,1
irri,jorah-mormont,Undirected,4,1
irri,viserys-targaryen,Undirected,5,1
jafer-flowers,jaremy-rykker,Undirected,3,1
jaime-lannister,joffrey-baratheon,Undirected,12,1
jaime-lannister,jon-arryn,Undirected,5,1
jaime-lannister,jory-cassel,Undirected,4,1
jaime-lannister,kevan-lannister,Undirected,4,1
jaime-lannister,loras-tyrell,Undirected,3,1
jaime-lannister,lysa-arryn,Undirected,6,1
jaime-lannister,petyr-baelish,Undirected,7,1
jaime-lannister,renly-baratheon,Undirected,4,1
jaime-lannister,rickard-karstark,Undirected,3,1
jaime-lannister,robb-stark,Undirected,9,1
jaime-lannister,robert-baratheon,Undirected,24,1
jaime-lannister,rodrik-cassel,Undirected,3,1
jaime-lannister,sandor-clegane,Undirected,12,1
jaime-lannister,sansa-stark,Undirected,3,1
jaime-lannister,tyrion-lannister,Undirected,36,1
jaime-lannister,tywin-lannister,Undirected,16,1
jaime-lannister,varys,Undirected,3,1
jaime-lannister,wyl-(guard),Undirected,3,1
janos-slynt,joffrey-baratheon,Undirected,4,1
janos-slynt,petyr-baelish,Undirected,3,1
janos-slynt,pycelle,Undirected,3,1
janos-slynt,robert-baratheon,Undirected,4,1
janos-slynt,sansa-stark,Undirected,3,1
jaremy-rykker,jeor-mormont,Undirected,11,1
jaremy-rykker,jon-snow,Undirected,7,1
jeor-mormont,jon-snow,Undirected,81,1
jeor-mormont,robert-baratheon,Undirected,4,1
jeor-mormont,samwell-tarly,Undirected,8,1
jeor-mormont,tyrion-lannister,Undirected,23,1
jeor-mormont,yoren,Undirected,3,1
jeyne-poole,loras-tyrell,Undirected,4,1
jeyne-poole,mordane,Undirected,7,1
jeyne-poole,robert-baratheon,Undirected,3,1
jeyne-poole,sansa-stark,Undirected,27,1
jhiqui,jorah-mormont,Undirected,4,1
jhogo,jorah-mormont,Undirected,5,1
jhogo,mirri-maz-duur,Undirected,3,1
joffrey-baratheon,jon-snow,Undirected,10,1
joffrey-baratheon,loras-tyrell,Undirected,3,1
joffrey-baratheon,meryn-trant,Undirected,3,1
joffrey-baratheon,mordane,Undirected,9,1
joffrey-baratheon,mycah,Undirected,14,1
joffrey-baratheon,myrcella-baratheon,Undirected,5,1
joffrey-baratheon,petyr-baelish,Undirected,11,1
joffrey-baratheon,pycelle,Undirected,4,1
joffrey-baratheon,renly-baratheon,Undirected,9,1
joffrey-baratheon,robb-stark,Undirected,19,1
joffrey-baratheon,robert-baratheon,Undirected,30,1
joffrey-baratheon,rodrik-cassel,Undirected,9,1
joffrey-baratheon,sandor-clegane,Undirected,24,1
joffrey-baratheon,sansa-stark,Undirected,87,1
joffrey-baratheon,stannis-baratheon,Undirected,7,1
joffrey-baratheon,tommen-baratheon,Undirected,8,1
joffrey-baratheon,tyrion-lannister,Undirected,13,1
joffrey-baratheon,tywin-lannister,Undirected,3,1
joffrey-baratheon,varys,Undirected,7,1
jommo,ogo,Undirected,3,1
jon-arryn,lysa-arryn,Undirected,12,1
jon-arryn,petyr-baelish,Undirected,4,1
jon-arryn,pycelle,Undirected,11,1
jon-arryn,robert-baratheon,Undirected,32,1
jon-arryn,stannis-baratheon,Undirected,13,1
jon-arryn,tyrion-lannister,Undirected,5,1
jon-arryn,varys,Undirected,5,1
jon-snow,jory-cassel,Undirected,3,1
jon-snow,luwin,Undirected,10,1
jon-snow,matthar,Undirected,3,1
jon-snow,mordane,Undirected,4,1
jon-snow,othor,Undirected,5,1
jon-snow,pypar,Undirected,45,1
jon-snow,rast,Undirected,8,1
jon-snow,rickon-stark,Undirected,11,1
jon-snow,robb-stark,Undirected,53,1
jon-snow,robert-baratheon,Undirected,18,1
jon-snow,rodrik-cassel,Undirected,3,1
jon-snow,samwell-tarly,Undirected,81,1
jon-snow,sansa-stark,Undirected,8,1
jon-snow,theon-greyjoy,Undirected,8,1
jon-snow,todder,Undirected,13,1
jon-snow,tyrion-lannister,Undirected,56,1
jon-snow,yoren,Undirected,6,1
jon-umber-(greatjon),maege-mormont,Undirected,5,1
jon-umber-(greatjon),rickard-karstark,Undirected,7,1
jon-umber-(greatjon),robb-stark,Undirected,8,1
jon-umber-(greatjon),roose-bolton,Undirected,3,1
jon-umber-(greatjon),theon-greyjoy,Undirected,5,1
jon-umber-(greatjon),tywin-lannister,Undirected,3,1
jonos-bracken,tytos-blackwood,Undirected,3,1
jorah-mormont,mirri-maz-duur,Undirected,5,1
jorah-mormont,qotho,Undirected,7,1
jorah-mormont,rhaegar-targaryen,Undirected,5,1
jorah-mormont,robert-baratheon,Undirected,3,1
jorah-mormont,viserys-targaryen,Undirected,15,1
jory-cassel,mordane,Undirected,3,1
jory-cassel,petyr-baelish,Undirected,8,1
jory-cassel,robb-stark,Undirected,9,1
jory-cassel,robert-baratheon,Undirected,7,1
jory-cassel,rodrik-cassel,Undirected,5,1
jory-cassel,sansa-stark,Undirected,9,1
jory-cassel,stannis-baratheon,Undirected,3,1
jory-cassel,theon-greyjoy,Undirected,3,1
jory-cassel,tomard,Undirected,5,1
jory-cassel,vayon-poole,Undirected,5,1
jory-cassel,wyl-(guard),Undirected,6,1
joseth,luwin,Undirected,3,1
jyck,morrec,Undirected,5,1
jyck,tyrion-lannister,Undirected,6,1
karyl-vance,marq-piper,Undirected,3,1
kevan-lannister,tyrion-lannister,Undirected,15,1
kevan-lannister,tywin-lannister,Undirected,9,1
kurleket,tyrion-lannister,Undirected,5,1
lancel-lannister,robert-baratheon,Undirected,3,1
leo-lefford,tyrion-lannister,Undirected,4,1
loras-tyrell,mace-tyrell,Undirected,3,1
loras-tyrell,petyr-baelish,Undirected,5,1
loras-tyrell,renly-baratheon,Undirected,5,1
loras-tyrell,robert-baratheon,Undirected,4,1
loras-tyrell,rodrik-cassel,Undirected,3,1
loras-tyrell,sandor-clegane,Undirected,4,1
loras-tyrell,sansa-stark,Undirected,14,1
luwin,nan,Undirected,4,1
luwin,osha,Undirected,16,1
luwin,rickard-karstark,Undirected,3,1
luwin,rickon-stark,Undirected,9,1
luwin,robb-stark,Undirected,20,1
luwin,rodrik-cassel,Undirected,3,1
luwin,theon-greyjoy,Undirected,10,1
luwin,tommen-baratheon,Undirected,3,1
luwin,tyrion-lannister,Undirected,10,1
lyanna-stark,robert-baratheon,Undirected,9,1
lyanna-stark,sansa-stark,Undirected,4,1
lyn-corbray,lysa-arryn,Undirected,3,1
lysa-arryn,petyr-baelish,Undirected,4,1
lysa-arryn,robert-arryn,Undirected,8,1
lysa-arryn,robert-baratheon,Undirected,5,1
lysa-arryn,stannis-baratheon,Undirected,4,1
lysa-arryn,tyrion-lannister,Undirected,25,1
lysa-arryn,vardis-egen,Undirected,5,1
mace-tyrell,paxter-redwyne,Undirected,3,1
maege-mormont,rickard-karstark,Undirected,3,1
maegor-i-targaryen,sansa-stark,Undirected,4,1
marillion,rodrik-cassel,Undirected,5,1
marillion,tyrion-lannister,Undirected,10,1
marillion,willis-wode,Undirected,4,1
marq-piper,tywin-lannister,Undirected,3,1
meryn-trant,robert-baratheon,Undirected,3,1
meryn-trant,sandor-clegane,Undirected,4,1
meryn-trant,sansa-stark,Undirected,5,1
meryn-trant,syrio-forel,Undirected,5,1
mirri-maz-duur,qotho,Undirected,9,1
mord,tyrion-lannister,Undirected,20,1
mordane,myrcella-baratheon,Undirected,12,1
mordane,petyr-baelish,Undirected,3,1
mordane,robert-baratheon,Undirected,7,1
mordane,sansa-stark,Undirected,43,1
morrec,tyrion-lannister,Undirected,5,1
mycah,sandor-clegane,Undirected,5,1
mycah,sansa-stark,Undirected,10,1
myrcella-baratheon,robert-baratheon,Undirected,3,1
myrcella-baratheon,sansa-stark,Undirected,8,1
myrcella-baratheon,tommen-baratheon,Undirected,6,1
nan,robb-stark,Undirected,4,1
osha,robb-stark,Undirected,3,1
petyr-baelish,pycelle,Undirected,14,1
petyr-baelish,renly-baratheon,Undirected,12,1
petyr-baelish,robert-baratheon,Undirected,30,1
petyr-baelish,rodrik-cassel,Undirected,7,1
petyr-baelish,sandor-clegane,Undirected,3,1
petyr-baelish,sansa-stark,Undirected,8,1
petyr-baelish,tomard,Undirected,4,1
petyr-baelish,tyrion-lannister,Undirected,11,1
petyr-baelish,varys,Undirected,29,1
pycelle,renly-baratheon,Undirected,7,1
pycelle,robert-baratheon,Undirected,26,1
pycelle,sansa-stark,Undirected,8,1
pycelle,stannis-baratheon,Undirected,3,1
pycelle,tywin-lannister,Undirected,4,1
pycelle,varys,Undirected,17,1
pypar,rast,Undirected,4,1
pypar,samwell-tarly,Undirected,11,1
